Architektura,T,Schedule,Ratio,Mean_MSE,Median_MSE,Mean_L2,Mean_Wasserstein,Mean_Pearson,Mean_Time
Conv1D_C32_5e-4,120,linear,0.6333333333333333,0.0001503744476455419,0.0001503744476455419,1.3564368,0.007579877746723772,1.0,0.0155546236038208
UNet_C64_1e-4,120,linear,0.25,0.00015352134825661777,0.00015352134825661777,1.227653,0.009778775408243139,1.0,0.003986018498738607
Conv1D_C128_5e-4,120,linear,0.4666666666666666,0.00015443249823874792,0.00015443249823874792,1.3565949,0.007417135965438319,1.0,0.011696354548136395
Conv1D_C128_5e-4,100,linear,0.3499999999999999,0.00015454528324577646,0.00015454528324577646,1.23293,0.009891265047093234,1.0,0.00690971851348877
UNet_C64_1e-4,100,linear,0.3,0.00015504263545153662,0.00015504263545153662,1.2350812,0.009723859817410509,1.0,0.004483954111735027
UNet_C64_1e-4,100,linear,0.25,0.00015613181079970675,0.00015613181079970675,1.2305444,0.009670373794312279,1.0,0.0061184533437093095
Conv1D_C32_5e-4,80,linear,0.3,0.0001581448474219845,0.0001581448474219845,7.285455,0.0066594827916317935,1.0,0.005075726509094238
UNet_C128_5e-4,100,linear,0.3499999999999999,0.00016054303259200727,0.00016054303259200727,1.2390172,0.009878533578788241,1.0,0.004762830734252929
Conv1D_C128_1e-3,120,linear,0.5166666666666666,0.00018372743104312877,0.00018372743104312877,1.4755806,0.008386093236725477,1.0,0.013260434468587238
UNet_C128_5e-4,120,linear,0.25,0.00018621697701746596,0.00018621697701746596,1.343771,0.010664085475727914,1.0,0.004720368385314941
Conv1D_C128_1e-3,80,linear,0.20000000000000004,0.0004256995506713994,0.00042384077593548376,3.4694307,0.010564202219574916,1.0,0.00213176065021091
Conv1D_C128_5e-4,80,linear,0.20000000000000004,0.0004406698578532087,0.0004251120226156975,3.5223486,0.010755366074585907,1.0,0.0022319009568956163
UNet_C256_5e-4,80,linear,0.20000000000000004,0.0004268471580548471,0.0004328477777501879,3.513377,0.010688824810650636,1.0,0.0017720082071092395
UNet_C128_5e-4,80,linear,0.20000000000000004,0.0004533282705233433,0.0004576577263166352,3.616537,0.011002994467900547,1.0,0.0025196207894219295
UNet_C64_1e-4,80,linear,0.20000000000000004,0.00044755466052770823,0.0004635620374028803,3.6059797,0.010846795370643971,1.0,0.002333396275838216
Conv1D_C128_1e-3,100,linear,0.20000000000000004,0.00048352547115225914,0.0004655049493885599,3.685559,0.01105596951508303,1.0,0.0025808681382073297
Conv1D_C128_5e-4,100,linear,0.20000000000000004,0.00044279289431869984,0.0004717465398910766,3.331404,0.010881417607273862,1.0,0.003567922910054525
UNet_C128_5e-4,120,cosine,0.5833333333333333,0.0004922758124303073,0.0004922758124303073,12.900455,0.008715009656152689,1.0,0.009181785583496095
UNet_C256_5e-4,100,linear,0.20000000000000004,0.000497831035665715,0.000497301939491687,3.7353308,0.011269463128971967,1.0,0.0040425194634331595
UNet_C256_5e-4,120,cosine,0.6333333333333333,0.0005036968673812226,0.0005036968673812226,13.049957,0.009021421790142389,1.0,0.019111140569051107
Conv1D_C128_1e-3,120,cosine,0.5166666666666666,0.0005123739757497485,0.0005123739757497485,2.514343,0.012859293191577309,1.0,0.013692458470662435
UNet_C64_1e-4,100,linear,0.20000000000000004,0.0005393114956435359,0.0005145555320632411,3.8880985,0.011589069067645966,1.0,0.00326626459757487
Conv1D_C128_5e-4,120,linear,0.20000000000000004,0.00048679800257862854,0.0005311613109370228,3.315267,0.011285246374159928,1.0,0.0045519502957661944
UNet_C128_5e-4,100,linear,0.20000000000000004,0.0005366971587338615,0.0005376910698153855,3.8840206,0.011437266184877967,1.0,0.0032592794630262587
Conv1D_C32_5e-4,120,cosine,0.6999999999999998,0.00054136212876377,0.00054136212876377,2.5881684,0.01340753947251263,1.0,0.015586818059285483
UNet_C256_5e-4,120,linear,0.20000000000000004,0.0005172838901108619,0.0005436028598827155,3.5906708,0.011763340802139768,1.0,0.0075751847312563935
Conv1D_C32_5e-4,80,linear,0.20000000000000004,0.0006124357721920306,0.0005488901435455773,4.2028456,0.011870719690033027,1.0,0.002548854086134169
